Brand_ID,Brand,Country,Whiskies,Votes,Rating,Brand_Ranking
1334,Feindestillerie Geistreich,Germany,1,NA,NA,G
1335,Feisty Spirits,United States,3,NA,NA,G
1336,Feller,Germany,13,9,82.24,D
1337,Fellsglen,Scotland,1,NA,NA,G
1338,Feral Clangs,Scotland,1,1,89.83,C
1339,Ferintosh,Scotland,2,2,59,G
1340,Ferry to Islay,Scotland,6,3,85.69,C
1341,Fest!,Scotland,1,NA,NA,G
1342,Fettercairn,Scotland,329,241,83.92,D
1343,Feuerwasser,Scotland,1,1,86,C
1344,FEW,United States,25,20,82.3,D
1345,Fiddler's Choice,Canada,1,1,86,C
1346,Fife-Keith Reserve,Scotland,1,NA,NA,G
1347,Fifth State,United States,NA,NA,NA,G
1348,Fifty / Fifty,Scotland,3,3,82.91,D
1349,Fifty Six Degrees,Scotland,1,1,73,F
1350,Fighting Cock,United States,9,6,85.52,C
1351,Filibuster,United States,5,2,82.38,D
1352,Finch,Germany,35,31,79.45,E
1353,Finch's,Scotland,1,NA,NA,G
1354,Findlater's,Scotland,23,6,82.18,D
1355,Fine Blended Malt Whisky,,NA,NA,NA,G
1356,Fine Blended Malt Whisky,,1,1,90.25,B
1357,Fine Blended Whisky,Scotland,1,1,89.84,C
1358,Fine Single Grain Whisky,Scotland,1,1,91.43,B
1359,Fine Single Highland Scotch Malt Whisky,Scotland,3,1,94,B
1360,Fine Single Orkney Scotch Malt Whisky,Scotland,1,NA,NA,G
1361,Fine Single Speyside Scotch Malt Whisky,Scotland,1,1,90,B
1362,Fine Tennessee Whiskey,United States,1,1,86.38,C
1363,Finest Blended Scotch Whisky,Scotland,1,NA,NA,G
1364,Finest Irish,Ireland,1,1,89.91,C
1365,Finest Old Blended Scotch Whisky,Scotland,1,NA,NA,G
1366,Finest Tyrolian,Austria,1,1,84,D
1367,Finian's,Ireland,1,NA,NA,G
1368,Finlaggan,Scotland,48,36,82.03,D
1369,Finnegan,Ireland,2,2,77,E
1370,Finoh's,United States,1,NA,NA,G
1371,Fior Càirdeas,Scotland,1,NA,NA,G
1372,Fiorghlan,Scotland,2,NA,NA,G
1373,Fire Water,United States,1,NA,NA,G
1374,Firean,Scotland,1,1,71.33,F
1375,Firefly,United States,1,1,87,C
1376,First and Foremost,Scotland,1,NA,NA,G
1377,First Foot,Scotland,1,NA,NA,G
1378,Firstwatch,,2,2,70,F
1379,Fish Wasser,Switzerland,3,1,74.5,F
1380,Fisselier,France,1,NA,NA,G
1381,Fitch's Goat,United States,2,NA,NA,G
1382,Flaitheanas,Scotland,1,1,88.57,C
1383,Flaming Cask,Scotland,4,NA,NA,G
1384,Flaming Fergie,Scotland,1,1,86.44,C
1385,Flaming Heart,Scotland,9,8,87.29,C
1386,Flaming Pig,Ireland,1,1,64,G
1387,Flannigans,Ireland,1,1,77,E
1388,Flatnöse,Scotland,4,3,81.71,D
1389,Fleeting,Scotland,4,4,85.79,C
1390,Fleischmann's,United States,5,NA,NA,G
1391,Fletcher's,Scotland,2,NA,NA,G
1392,Fleurieu Distillery,Australia,4,NA,NA,G
1393,Flóki,Iceland,27,21,68.83,G
1394,Florida Caribbean,United States,3,NA,NA,G
1395,Flower of Scotland,Scotland,12,1,81.6,D
1396,Flowery Moon,Scotland,1,1,88.25,C
1397,Floyd's 55,Germany,NA,NA,NA,G
1398,Fochabers Bicentenary,Scotland,1,1,84,D
1399,Fog's End,United States,2,1,69,G
1400,For Ever Young Pristine,Scotland,1,1,92.67,B
1401,Foreman,,1,NA,NA,G
1402,Forgan,United Kingdom,1,NA,NA,G
1403,Forged Oak,United States,1,1,86.67,C
1404,Fort George,Scotland,1,NA,NA,G
1405,Fortbacher,Germany,1,1,80,D
1406,Forth Bridge Centennial,Scotland,1,NA,NA,G
1407,Forties,Scotland,1,1,86,C
1408,Fortnum & Mason,United Kingdom,3,NA,NA,G
1409,Forty Creek,Canada,18,16,82.33,D
1410,Founders,Scotland,1,NA,NA,G
1411,Founders Whisky,Scotland,1,NA,NA,G
1412,Four Kings,United States,2,NA,NA,G
1413,Four Roses,United States,845,204,83.81,D
1414,Foxy Fiona,Scotland,1,1,86.93,C
1415,Francis,Scotland,8,1,79,E
1416,Franklin County Distilleries,United States,2,NA,NA,G
1417,Franziskus,Germany,1,1,13,G
1418,Fraser Mc.Donald's,Scotland,1,NA,NA,G
1419,Fraser's,Scotland,2,NA,NA,G
1420,Frasers Reserve,Scotland,3,3,70.78,F
1421,Frazer McHugh,Scotland,1,NA,NA,G
1422,Frederick's,,1,1,90.09,B
1423,Freihof,Switzerland,6,2,76.25,E
1424,Fremont Mischief,United States,2,1,60,G
1425,Friar John Cor,Scotland,2,2,72.75,F
1426,Fritzen's,Germany,1,NA,NA,G
1427,From arguably the Greatest Speyside Distillery!,Scotland,1,NA,NA,G
1428,Fruity Moon,Scotland,1,1,74.5,F
1429,Frysk Hynder,Netherlands,114,67,73.87,F
1430,Fuaran Ile,Scotland,26,11,86.76,C
1431,Fuji Gotemba,Japan,44,27,84.49,D
1432,Fujikai,Japan,1,1,59.21,G
1433,Fukano,Japan,6,2,85.34,C
1434,Full House,United States,1,NA,NA,G
1435,Funky Monkey,United States,1,NA,NA,G
1436,Fuyu,Japan,1,1,78.75,E
